748	Cayman Islands	UF Grand Cayman; Little Cayman Island / BT Caribbean	location
22729	Ceara	BT Brazil	location
20452	Central Africa	UF Africa, Central / BT Africa South of Sahara	location
91	Central African Republic	UF Central African Empire; Oubangui-Chari; Ubangi-Shari / BT Francophone Africa; Central Africa	location
10693	Central America	UF America, Central; Mesoamerica / BT Americas	location
30178	Central Asia	UF Central Asian countries / BT Asia	location
31204	Centre (France)	UF Central France / BT France	location
634	Chad	UF Tchad; Republic of Chad / BT Francophone Africa; Central Africa	location
26695	Champagne Ardennes	BT France	location
26638	Chiapas	BT Mexico	location
27478	Chihuahua	BT Mexico	location
271	Chile	UF Chiloe; O'Higgins; Aysen; Bio-Bio; Curico; Nuble; Valdivia; Arauco; Santiago (Chile); Colchagua; Concepcion (Chile); Coquimbo; Osorno; Atacama; Magallanes; Valparaiso; Linares; Llanquihue; Republic of Chile; Cautin; Maule; Talca; Malleco; Antofagasta; Tarapaca / BT Latin America; South America	location
112	China	UF People's Republic of China; China People's Republic; CN (ISO 3166); Mainland China; Peking Region; Eastern China; Ningxia; Chinghai; Chongquing; North Western China; Mongolia, Inner; Tientsin; North Eastern China; Shanghai region; Shenyang; Ningsia-Hui; Qinghai; South Western China; Northern China; Peoples Republic of China; China, Mainland; China, People's Republic; Tianjin; Xian / BT East Asia	location
67	Christmas Island (Indian Ocean)	UF Christmas Island, Territory of; Territory of Christmas Island / SN Use for the island located at 10° 30' S latitude and 105° 40' E longitude in the Indian Ocean;  For Christmas Island (Kiritimati) at 1° 52' N latitude and 157° 20' W longitude in the Pacific Ocean USE Kiribati. / DF An island in the Indian Ocean, located at 10° 30' S latitude and 105 40 E longitude, which is a territory of Australia. / BT Oceania; islands	location
24622	Coahuila	BT Mexico	location
334	Colombia	UF Republic of Colombia / BT Latin America; South America	location
7984	Colorado	BT Western States of USA	location
265	Comoros	UF Comoro Islands; Etat Comorien; Moheli; Anjouan; Grande Comore; Union of the Comoros; KM (ISO 3166); Islamic Federal Republic of the Comoros; COM (ISO 3166); Angouan; Great Comoro / BT Francophone Africa; Southern Africa; East Africa	location
394	Congo	UF Republic of the Congo; Congo (Brazzaville); Middle Congo; People's Republic of the Congo; Congo Brazzaville; Congo PR; Congo, Republic of / BT Francophone Africa; Central Africa	location
17866	Connecticut	BT New England States of USA	location
292	Cook Islands	UF Hervey Islands / BT Pacific Islands	location
23797	Corsica	BT France	location
52	Costa Rica	UF Republic of Costa Rica; Cocos Island (Pacific) / BT Latin America; Central America	location
550	Cote d'Ivoire	UF Republic of the Ivory Coast; Ivory Coast / BT Francophone Africa; West Africa	location
10	Croatia	UF Republic of Croatia / BT Mediterranean region; Balkans	location
565	Cuba	UF Republic of Cuba / BT Latin America; Caribbean	location
154	Cyprus	UF Republic of Cyprus / BT Mediterranean region	location
448	Czech Republic	UF Czechoslovak Republic; Czech Socialist Republic / SN Part of CSFR till 31.12.1992; Use for works referring to the period after January 1993; for works relating to the period prior to January 1993 when Czechoslovakia existed as a political entity USE Czechoslovakia. / BT Eastern European region	location
604	Czechoslovakia	UF Czechoslovak Socialist Republic; Czech and Slovak Federal Republic; CSFR / SN Only to be used for documents published before 31.12.1992; later use <33095> or <33096>; Use for documents relating to the period when Czechoslovakia existed as a political entity and where a more specific designation cannot be ascertained.; Use for works referring to the period prior to January 1993 when Czechoslovakia existed as a political entity; for works referring to the period after January 1993 USE Czech Republic OR Slovakia. / BT Eastern European region	location
24397	Danube River	BT Bulgaria; Romania; Hungary; rivers; Austria; Serbia	location
23701	Delaware	BT North Eastern States (USA)	location
364	Democratic People's Republic of Korea	UF Korea Democratic People's Republic; North Korea; DPRK (Democratic People's Republic of Korea); Korea, North / BT East Asia	location
43	Democratic Republic of the Congo	UF Katanga; Congo Orientale; Congo (Democratic Republic); Zaire; Shaba (Zaire); Kinshasa; Kivu (Zaire); Bandunda; Congo (Kinshasa); Kasai (Zaire); Equateur (Zaire); Congo (Leopoldville); Belgian Congo; Congo Kinshasa; Congo Free State; Congo Leopoldville; DRC; Congo Democratic Republic; DR Congo; Democratic Republic of Congo; Congo, Democratic Republic of / BT Francophone Africa; Central Africa	location
427	Democratic Yemen	UF Aden; Yemen People's Democratic Republic; People's Democratic Republic of Yemen; Southern Yemen / SN To be used for documents published before May 1990 or dealing with the situation in the region until May 21, 1990; later use <8483>.  On May 22, 1990, the People's Democratic Republic of Yemen (Democratic Yemen) and the Yemen Arab Republic (North Yemen) merged to form a new country, the Republic of Yemen (Yemen) / DF Source: UNBIS, 2006 / BT geographical regions	location
343	Denmark	UF Kingdom of Denmark; Fyn; Denmark (Jutland); Sjaelland; Bornholm; Denmark (Zealand); Zealand; Denmark (Lolland Falster); Denmark (Fyn); Denmark (Bornholm); Lolland Falster; Jylland; Jutland; Fyn (Denmark) / BT Scandinavia	location
10630	developed countries	UF developed nations; industrial nations; industrialized nations; industrialized countries; advanced nations; economically advanced nations; industrial countries; advanced countries; First World; economically advanced countries / DF Countries that have reached a level of economic achievement through an increase of production, per capita income and consumption, and utilization of natural and human resources. / BT countries	location
1784	developing countries	UF underdeveloped nations; emerging nations; newly industrialized countries; developing nations; nonindustrialized countries; least developed nations; Fourth World; nonindustrialized nations; underdeveloped countries; least developed countries; emerging countries; NIC (newly industrialized countries); LDC (least developed countries); newly industrializing countries; Third world; Less developed countries / DF Countries in the process of change directed toward economic growth, that is, an increase in production, per capita consumption, and income. / BT countries	location
661	Djibouti	UF French Somaliland; Afars and Issas Territory; Issas (and Afars Territory); Republic of Djibouti; French Territory of Afars and Issas; Jibuti; French Territory of the Afars and the Issas / BT Francophone Africa; East Africa	location
685	Dominica	BT Caribbean	location
688	Dominican Republic	BT Latin America; Caribbean	location
27268	Durango	BT Mexico	location
24817	earth	SN The Earth as a planet; for earth as a growing medium use <7156> / BT LOCATION	location
17230	East Africa	UF Horn of Africa; Africa, East; Eastern Africa / BT Africa South of Sahara	location
24922	East Asia	UF Eastern Asia; East Asian countries; Far East; Asia, East / BT Asia	location
27379	East China Sea	BT Northwest Pacific; seas	location
27613	Eastern Central Atlantic	UF Atlantic, Eastern Central; Atlantic, Eastern-Central; Atlantic Eastern Central / BT Atlantic Ocean	location
11995	Eastern European region	UF Eastern Europe; Eastern European countries / BT Europe	location
451	Ecuador	UF Republic of Ecuador / BT Latin America; South America	location
166	Egypt	UF Arab Republic of Egypt; United Arab Republic / BT Middle East; North Africa; Mediterranean region	location
331	El Salvador	UF Salvador; Republic of El Salvador / BT Latin America; Central America	location
7171	Emilia Romagna	BT Italy	location
8071	England	UF West Midlands of England; East Midlands of England; Yorkshire and Lancashire / BT Great Britain	location
358	Equatorial Guinea	UF Republic of Equatorial Guinea; Rio Muni; Fernando Po; Spanish Guinea; Guinea, Equatorial / BT Central Africa	location
109	Eritrea	UF the State of Eritrea / SN Before May 1993 part of Ethiopia / BT East Africa	location
31345	Espirito Santo	BT Brazil	location
463	Estonia	UF Estonian SSR; Estonian Soviet Socialist Republic / SN Part of USSR before 1992; for documents dealing with that region before the change of status use <2672>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <10672> / BT USSR	location
754	Ethiopia	UF Abyssinia / BT East Africa	location
2644	Europe	UF European continent / BT geographical regions	location
